"module","file","method","path"
"intellicare-comunicacao",".\intellicare-comunicacao\comunicacao\api\app.py","POST","/api/v1/bot/start"
"intellicare-comunicacao",".\intellicare-comunicacao\comunicacao\api\app.py","GET","/api/v1/bot/status"
"intellicare-comunicacao",".\intellicare-comunicacao\comunicacao\api\app.py","POST","/api/v1/bot/stop"
"intellicare-comunicacao",".\intellicare-comunicacao\comunicacao\api\case_room_routes.py","GET","/api/v1/case-room/{patient_id}"
"intellicare-comunicacao",".\intellicare-comunicacao\comunicacao\api\case_room_routes.py","POST","/api/v1/case-room/{patient_id}"
"intellicare-comunicacao",".\intellicare-comunicacao\comunicacao\api\case_room_routes.py","POST","/api/v1/case-room/{patient_id}/alert"
"intellicare-comunicacao",".\intellicare-comunicacao\comunicacao\api\case_room_routes.py","DELETE","/api/v1/case-room/{patient_id}/archive"
"intellicare-comunicacao",".\intellicare-comunicacao\comunicacao\api\case_room_routes.py","POST","/api/v1/case-room/{patient_id}/members"
"intellicare-comunicacao",".\intellicare-comunicacao\comunicacao\api\case_room_routes.py","POST","/api/v1/case-room/{patient_id}/summary"
"intellicare-comunicacao",".\intellicare-comunicacao\comunicacao\api\channel_routes.py","GET","/api/v1/channels/{channel}/health"
"intellicare-comunicacao",".\intellicare-comunicacao\comunicacao\api\channel_routes.py","POST","/api/v1/channels/{channel}/test"
"intellicare-comunicacao",".\intellicare-comunicacao\comunicacao\api\email_routes.py","POST","/api/v1/email/send"
"intellicare-comunicacao",".\intellicare-comunicacao\comunicacao\api\email_routes.py","GET","/api/v1/email/templates"
"intellicare-comunicacao",".\intellicare-comunicacao\comunicacao\api\email_routes.py","POST","/api/v1/email/templates/preview"
"intellicare-comunicacao",".\intellicare-comunicacao\comunicacao\api\app.py","POST","/api/v1/events/clinical-alert"
"intellicare-comunicacao",".\intellicare-comunicacao\comunicacao\api\app.py","POST","/api/v1/events/consumer/start"
"intellicare-comunicacao",".\intellicare-comunicacao\comunicacao\api\app.py","GET","/api/v1/events/consumer/status"
"intellicare-comunicacao",".\intellicare-comunicacao\comunicacao\api\app.py","POST","/api/v1/events/consumer/stop"
"intellicare-comunicacao",".\intellicare-comunicacao\comunicacao\api\app.py","GET","/api/v1/events/metrics"
"intellicare-comunicacao",".\intellicare-comunicacao\comunicacao\api\app.py","POST","/api/v1/events/metrics/reset"
"intellicare-comunicacao",".\intellicare-comunicacao\comunicacao\api\app.py","GET","/api/v1/health"
"intellicare-comunicacao",".\intellicare-comunicacao\src\comunicacao\api\main.py","GET","/api/v1/health"
"intellicare-comunicacao",".\intellicare-comunicacao\comunicacao\api\health_routes.py","GET","/api/v1/health/channels"
"intellicare-comunicacao",".\intellicare-comunicacao\comunicacao\api\health_routes.py","GET","/api/v1/health/channels/{channel}"
"intellicare-comunicacao",".\intellicare-comunicacao\comunicacao\api\health_routes.py","GET","/api/v1/health/db"
"intellicare-comunicacao",".\intellicare-comunicacao\comunicacao\api\health_routes.py","GET","/api/v1/health/liveness"
"intellicare-comunicacao",".\intellicare-comunicacao\comunicacao\api\health_routes.py","GET","/api/v1/health/readiness"
"intellicare-comunicacao",".\intellicare-comunicacao\comunicacao\api\health_routes.py","GET","/api/v1/health/redis"
"intellicare-comunicacao",".\intellicare-comunicacao\comunicacao\api\app.py","GET","/api/v1/info"
"intellicare-comunicacao",".\intellicare-comunicacao\src\comunicacao\api\endpoints.py","GET","/api/v1/intents"
"intellicare-comunicacao",".\intellicare-comunicacao\comunicacao\api\jitsi_routes.py","DELETE","/api/v1/jitsi/participants/{participant_id}"
"intellicare-comunicacao",".\intellicare-comunicacao\comunicacao\api\jitsi_routes.py","GET","/api/v1/jitsi/rooms"
"intellicare-comunicacao",".\intellicare-comunicacao\comunicacao\api\jitsi_routes.py","POST","/api/v1/jitsi/rooms"
"intellicare-comunicacao",".\intellicare-comunicacao\comunicacao\api\jitsi_routes.py","GET","/api/v1/jitsi/rooms/{room_id}"
"intellicare-comunicacao",".\intellicare-comunicacao\comunicacao\api\jitsi_routes.py","POST","/api/v1/jitsi/rooms/{room_id}/cancel"
"intellicare-comunicacao",".\intellicare-comunicacao\comunicacao\api\jitsi_routes.py","POST","/api/v1/jitsi/rooms/{room_id}/end"
"intellicare-comunicacao",".\intellicare-comunicacao\comunicacao\api\jitsi_routes.py","POST","/api/v1/jitsi/rooms/{room_id}/participants"
"intellicare-comunicacao",".\intellicare-comunicacao\comunicacao\api\jitsi_routes.py","POST","/api/v1/jitsi/rooms/{room_id}/start"
"intellicare-comunicacao",".\intellicare-comunicacao\comunicacao\api\jitsi_routes.py","POST","/api/v1/jitsi/webhook"
"intellicare-comunicacao",".\intellicare-comunicacao\comunicacao\api\lgpd_routes.py","POST","/api/v1/lgpd/anonymize/{patient_id}"
"intellicare-comunicacao",".\intellicare-comunicacao\comunicacao\api\lgpd_routes.py","GET","/api/v1/lgpd/audit"
"intellicare-comunicacao",".\intellicare-comunicacao\comunicacao\api\lgpd_routes.py","GET","/api/v1/lgpd/audit/{intent_id}"
"intellicare-comunicacao",".\intellicare-comunicacao\comunicacao\api\lgpd_routes.py","GET","/api/v1/lgpd/audit/patient/{patient_id}"
"intellicare-comunicacao",".\intellicare-comunicacao\comunicacao\api\lgpd_routes.py","GET","/api/v1/lgpd/compliance-report"
"intellicare-comunicacao",".\intellicare-comunicacao\comunicacao\api\lgpd_routes.py","DELETE","/api/v1/lgpd/consent/{patient_id}"
"intellicare-comunicacao",".\intellicare-comunicacao\comunicacao\api\lgpd_routes.py","POST","/api/v1/lgpd/consent/{patient_id}"
"intellicare-comunicacao",".\intellicare-comunicacao\comunicacao\api\lgpd_routes.py","GET","/api/v1/lgpd/consent/{patient_id}/history"
"intellicare-comunicacao",".\intellicare-comunicacao\comunicacao\api\lgpd_routes.py","GET","/api/v1/lgpd/export/{patient_id}"
"intellicare-comunicacao",".\intellicare-comunicacao\comunicacao\api\lgpd_routes.py","GET","/api/v1/lgpd/preferences/{patient_id}"
"intellicare-comunicacao",".\intellicare-comunicacao\comunicacao\api\lgpd_routes.py","PUT","/api/v1/lgpd/preferences/{patient_id}"
"intellicare-comunicacao",".\intellicare-comunicacao\comunicacao\api\lgpd_routes.py","POST","/api/v1/lgpd/preferences/{patient_id}/opt-in/{channel}"
"intellicare-comunicacao",".\intellicare-comunicacao\comunicacao\api\lgpd_routes.py","POST","/api/v1/lgpd/preferences/{patient_id}/opt-out/{channel}"
"intellicare-comunicacao",".\intellicare-comunicacao\comunicacao\api\lgpd_routes.py","PUT","/api/v1/lgpd/preferences/{patient_id}/quiet-hours"
"intellicare-comunicacao",".\intellicare-comunicacao\comunicacao\api\lgpd_routes.py","GET","/api/v1/lgpd/verify-chain"
"intellicare-comunicacao",".\intellicare-comunicacao\comunicacao\api\app.py","GET","/api/v1/links/patient-room"
"intellicare-comunicacao",".\intellicare-comunicacao\comunicacao\api\app.py","POST","/api/v1/links/patient-room"
"intellicare-comunicacao",".\intellicare-comunicacao\comunicacao\api\app.py","DELETE","/api/v1/links/patient-room/{patient_id}"
"intellicare-comunicacao",".\intellicare-comunicacao\comunicacao\api\app.py","GET","/api/v1/links/patient-room/{patient_id}"
