"module","method","path","files"
"intellicare-comunicacao","POST","/api/v1/bot/start",".\intellicare-comunicacao\comunicacao\api\app.py"
"intellicare-comunicacao","GET","/api/v1/bot/status",".\intellicare-comunicacao\comunicacao\api\app.py"
"intellicare-comunicacao","POST","/api/v1/bot/stop",".\intellicare-comunicacao\comunicacao\api\app.py"
"intellicare-comunicacao","GET","/api/v1/case-room/{patient_id}",".\intellicare-comunicacao\comunicacao\api\case_room_routes.py"
"intellicare-comunicacao","POST","/api/v1/case-room/{patient_id}",".\intellicare-comunicacao\comunicacao\api\case_room_routes.py"
"intellicare-comunicacao","POST","/api/v1/case-room/{patient_id}/alert",".\intellicare-comunicacao\comunicacao\api\case_room_routes.py"
"intellicare-comunicacao","DELETE","/api/v1/case-room/{patient_id}/archive",".\intellicare-comunicacao\comunicacao\api\case_room_routes.py"
"intellicare-comunicacao","POST","/api/v1/case-room/{patient_id}/members",".\intellicare-comunicacao\comunicacao\api\case_room_routes.py"
"intellicare-comunicacao","POST","/api/v1/case-room/{patient_id}/summary",".\intellicare-comunicacao\comunicacao\api\case_room_routes.py"
"intellicare-comunicacao","GET","/api/v1/channels/{channel}/health",".\intellicare-comunicacao\comunicacao\api\channel_routes.py"
"intellicare-comunicacao","POST","/api/v1/channels/{channel}/test",".\intellicare-comunicacao\comunicacao\api\channel_routes.py"
"intellicare-comunicacao","POST","/api/v1/email/send",".\intellicare-comunicacao\comunicacao\api\email_routes.py"
"intellicare-comunicacao","GET","/api/v1/email/templates",".\intellicare-comunicacao\comunicacao\api\email_routes.py"
"intellicare-comunicacao","POST","/api/v1/email/templates/preview",".\intellicare-comunicacao\comunicacao\api\email_routes.py"
"intellicare-comunicacao","POST","/api/v1/events/clinical-alert",".\intellicare-comunicacao\comunicacao\api\app.py"
"intellicare-comunicacao","POST","/api/v1/events/consumer/start",".\intellicare-comunicacao\comunicacao\api\app.py"
"intellicare-comunicacao","GET","/api/v1/events/consumer/status",".\intellicare-comunicacao\comunicacao\api\app.py"
"intellicare-comunicacao","POST","/api/v1/events/consumer/stop",".\intellicare-comunicacao\comunicacao\api\app.py"
"intellicare-comunicacao","GET","/api/v1/events/metrics",".\intellicare-comunicacao\comunicacao\api\app.py"
"intellicare-comunicacao","POST","/api/v1/events/metrics/reset",".\intellicare-comunicacao\comunicacao\api\app.py"
"intellicare-comunicacao","GET","/api/v1/health",".\intellicare-comunicacao\comunicacao\api\app.py; .\intellicare-comunicacao\src\comunicacao\api\main.py"
"intellicare-comunicacao","GET","/api/v1/health/channels",".\intellicare-comunicacao\comunicacao\api\health_routes.py"
"intellicare-comunicacao","GET","/api/v1/health/channels/{channel}",".\intellicare-comunicacao\comunicacao\api\health_routes.py"
"intellicare-comunicacao","GET","/api/v1/health/db",".\intellicare-comunicacao\comunicacao\api\health_routes.py"
"intellicare-comunicacao","GET","/api/v1/health/liveness",".\intellicare-comunicacao\comunicacao\api\health_routes.py"
"intellicare-comunicacao","GET","/api/v1/health/readiness",".\intellicare-comunicacao\comunicacao\api\health_routes.py"
"intellicare-comunicacao","GET","/api/v1/health/redis",".\intellicare-comunicacao\comunicacao\api\health_routes.py"
"intellicare-comunicacao","GET","/api/v1/info",".\intellicare-comunicacao\comunicacao\api\app.py"
"intellicare-comunicacao","GET","/api/v1/intents",".\intellicare-comunicacao\src\comunicacao\api\endpoints.py"
"intellicare-comunicacao","DELETE","/api/v1/jitsi/participants/{participant_id}",".\intellicare-comunicacao\comunicacao\api\jitsi_routes.py"
"intellicare-comunicacao","GET","/api/v1/jitsi/rooms",".\intellicare-comunicacao\comunicacao\api\jitsi_routes.py"
"intellicare-comunicacao","POST","/api/v1/jitsi/rooms",".\intellicare-comunicacao\comunicacao\api\jitsi_routes.py"
"intellicare-comunicacao","GET","/api/v1/jitsi/rooms/{room_id}",".\intellicare-comunicacao\comunicacao\api\jitsi_routes.py"
"intellicare-comunicacao","POST","/api/v1/jitsi/rooms/{room_id}/cancel",".\intellicare-comunicacao\comunicacao\api\jitsi_routes.py"
"intellicare-comunicacao","POST","/api/v1/jitsi/rooms/{room_id}/end",".\intellicare-comunicacao\comunicacao\api\jitsi_routes.py"
"intellicare-comunicacao","POST","/api/v1/jitsi/rooms/{room_id}/participants",".\intellicare-comunicacao\comunicacao\api\jitsi_routes.py"
"intellicare-comunicacao","POST","/api/v1/jitsi/rooms/{room_id}/start",".\intellicare-comunicacao\comunicacao\api\jitsi_routes.py"
"intellicare-comunicacao","POST","/api/v1/jitsi/webhook",".\intellicare-comunicacao\comunicacao\api\jitsi_routes.py"
"intellicare-comunicacao","POST","/api/v1/lgpd/anonymize/{patient_id}",".\intellicare-comunicacao\comunicacao\api\lgpd_routes.py"
"intellicare-comunicacao","GET","/api/v1/lgpd/audit",".\intellicare-comunicacao\comunicacao\api\lgpd_routes.py"
