"module","file","method","path"
"intellicare-comunicacao","MODULARIZACAO\intellicare-comunicacao\comunicacao\api\app.py","POST","/api/v1/bot/start"
"intellicare-comunicacao","MODULARIZACAO\intellicare-comunicacao\comunicacao\api\app.py","GET","/api/v1/bot/status"
"intellicare-comunicacao","MODULARIZACAO\intellicare-comunicacao\comunicacao\api\app.py","POST","/api/v1/bot/stop"
"intellicare-comunicacao","MODULARIZACAO\intellicare-comunicacao\comunicacao\api\case_room_routes.py","GET","/api/v1/case-room/{patient_id}"
"intellicare-comunicacao","MODULARIZACAO\intellicare-comunicacao\comunicacao\api\case_room_routes.py","POST","/api/v1/case-room/{patient_id}"
"intellicare-comunicacao","MODULARIZACAO\intellicare-comunicacao\comunicacao\api\case_room_routes.py","POST","/api/v1/case-room/{patient_id}/alert"
"intellicare-comunicacao","MODULARIZACAO\intellicare-comunicacao\comunicacao\api\case_room_routes.py","DELETE","/api/v1/case-room/{patient_id}/archive"
"intellicare-comunicacao","MODULARIZACAO\intellicare-comunicacao\comunicacao\api\case_room_routes.py","POST","/api/v1/case-room/{patient_id}/members"
"intellicare-comunicacao","MODULARIZACAO\intellicare-comunicacao\comunicacao\api\case_room_routes.py","POST","/api/v1/case-room/{patient_id}/summary"
"intellicare-comunicacao","MODULARIZACAO\intellicare-comunicacao\comunicacao\api\channel_routes.py","GET","/api/v1/channels/{channel}/health"
"intellicare-comunicacao","MODULARIZACAO\intellicare-comunicacao\comunicacao\api\channel_routes.py","POST","/api/v1/channels/{channel}/test"
"intellicare-comunicacao","MODULARIZACAO\intellicare-comunicacao\comunicacao\api\email_routes.py","POST","/api/v1/email/send"
"intellicare-comunicacao","MODULARIZACAO\intellicare-comunicacao\comunicacao\api\email_routes.py","GET","/api/v1/email/templates"
"intellicare-comunicacao","MODULARIZACAO\intellicare-comunicacao\comunicacao\api\email_routes.py","POST","/api/v1/email/templates/preview"
"intellicare-comunicacao","MODULARIZACAO\intellicare-comunicacao\comunicacao\api\app.py","POST","/api/v1/events/clinical-alert"
"intellicare-comunicacao","MODULARIZACAO\intellicare-comunicacao\comunicacao\api\app.py","POST","/api/v1/events/consumer/start"
"intellicare-comunicacao","MODULARIZACAO\intellicare-comunicacao\comunicacao\api\app.py","GET","/api/v1/events/consumer/status"
"intellicare-comunicacao","MODULARIZACAO\intellicare-comunicacao\comunicacao\api\app.py","POST","/api/v1/events/consumer/stop"
"intellicare-comunicacao","MODULARIZACAO\intellicare-comunicacao\comunicacao\api\app.py","GET","/api/v1/events/metrics"
"intellicare-comunicacao","MODULARIZACAO\intellicare-comunicacao\comunicacao\api\app.py","POST","/api/v1/events/metrics/reset"
"intellicare-comunicacao","MODULARIZACAO\intellicare-comunicacao\comunicacao\api\app.py","GET","/api/v1/health"
"intellicare-comunicacao","MODULARIZACAO\intellicare-comunicacao\src\comunicacao\api\main.py","GET","/api/v1/health"
"intellicare-comunicacao","MODULARIZACAO\intellicare-comunicacao\comunicacao\api\health_routes.py","GET","/api/v1/health/channels"
"intellicare-comunicacao","MODULARIZACAO\intellicare-comunicacao\comunicacao\api\health_routes.py","GET","/api/v1/health/channels/{channel}"
"intellicare-comunicacao","MODULARIZACAO\intellicare-comunicacao\comunicacao\api\health_routes.py","GET","/api/v1/health/db"
"intellicare-comunicacao","MODULARIZACAO\intellicare-comunicacao\comunicacao\api\health_routes.py","GET","/api/v1/health/liveness"
"intellicare-comunicacao","MODULARIZACAO\intellicare-comunicacao\comunicacao\api\health_routes.py","GET","/api/v1/health/readiness"
"intellicare-comunicacao","MODULARIZACAO\intellicare-comunicacao\comunicacao\api\health_routes.py","GET","/api/v1/health/redis"
"intellicare-comunicacao","MODULARIZACAO\intellicare-comunicacao\comunicacao\api\app.py","GET","/api/v1/info"
"intellicare-comunicacao","MODULARIZACAO\intellicare-comunicacao\src\comunicacao\api\endpoints.py","GET","/api/v1/intents"
"intellicare-comunicacao","MODULARIZACAO\intellicare-comunicacao\comunicacao\api\jitsi_routes.py","DELETE","/api/v1/jitsi/participants/{participant_id}"
"intellicare-comunicacao","MODULARIZACAO\intellicare-comunicacao\comunicacao\api\jitsi_routes.py","GET","/api/v1/jitsi/rooms"
"intellicare-comunicacao","MODULARIZACAO\intellicare-comunicacao\comunicacao\api\jitsi_routes.py","POST","/api/v1/jitsi/rooms"
"intellicare-comunicacao","MODULARIZACAO\intellicare-comunicacao\comunicacao\api\jitsi_routes.py","GET","/api/v1/jitsi/rooms/{room_id}"
