"module","method","path","files"
"intellicare-comunicacao","POST","/api/v1/bot/start","MODULARIZACAO\intellicare-comunicacao\comunicacao\api\app.py"
"intellicare-comunicacao","GET","/api/v1/bot/status","MODULARIZACAO\intellicare-comunicacao\comunicacao\api\app.py"
"intellicare-comunicacao","POST","/api/v1/bot/stop","MODULARIZACAO\intellicare-comunicacao\comunicacao\api\app.py"
"intellicare-comunicacao","GET","/api/v1/case-room/{patient_id}","MODULARIZACAO\intellicare-comunicacao\comunicacao\api\case_room_routes.py"
"intellicare-comunicacao","POST","/api/v1/case-room/{patient_id}","MODULARIZACAO\intellicare-comunicacao\comunicacao\api\case_room_routes.py"
"intellicare-comunicacao","POST","/api/v1/case-room/{patient_id}/alert","MODULARIZACAO\intellicare-comunicacao\comunicacao\api\case_room_routes.py"
"intellicare-comunicacao","DELETE","/api/v1/case-room/{patient_id}/archive","MODULARIZACAO\intellicare-comunicacao\comunicacao\api\case_room_routes.py"
"intellicare-comunicacao","POST","/api/v1/case-room/{patient_id}/members","MODULARIZACAO\intellicare-comunicacao\comunicacao\api\case_room_routes.py"
"intellicare-comunicacao","POST","/api/v1/case-room/{patient_id}/summary","MODULARIZACAO\intellicare-comunicacao\comunicacao\api\case_room_routes.py"
"intellicare-comunicacao","GET","/api/v1/channels/{channel}/health","MODULARIZACAO\intellicare-comunicacao\comunicacao\api\channel_routes.py"
"intellicare-comunicacao","POST","/api/v1/channels/{channel}/test","MODULARIZACAO\intellicare-comunicacao\comunicacao\api\channel_routes.py"
"intellicare-comunicacao","POST","/api/v1/email/send","MODULARIZACAO\intellicare-comunicacao\comunicacao\api\email_routes.py"
"intellicare-comunicacao","GET","/api/v1/email/templates","MODULARIZACAO\intellicare-comunicacao\comunicacao\api\email_routes.py"
"intellicare-comunicacao","POST","/api/v1/email/templates/preview","MODULARIZACAO\intellicare-comunicacao\comunicacao\api\email_routes.py"
"intellicare-comunicacao","POST","/api/v1/events/clinical-alert","MODULARIZACAO\intellicare-comunicacao\comunicacao\api\app.py"
"intellicare-comunicacao","POST","/api/v1/events/consumer/start","MODULARIZACAO\intellicare-comunicacao\comunicacao\api\app.py"
"intellicare-comunicacao","GET","/api/v1/events/consumer/status","MODULARIZACAO\intellicare-comunicacao\comunicacao\api\app.py"
"intellicare-comunicacao","POST","/api/v1/events/consumer/stop","MODULARIZACAO\intellicare-comunicacao\comunicacao\api\app.py"
"intellicare-comunicacao","GET","/api/v1/events/metrics","MODULARIZACAO\intellicare-comunicacao\comunicacao\api\app.py"
"intellicare-comunicacao","POST","/api/v1/events/metrics/reset","MODULARIZACAO\intellicare-comunicacao\comunicacao\api\app.py"
"intellicare-comunicacao","GET","/api/v1/health","MODULARIZACAO\intellicare-comunicacao\comunicacao\api\app.py; MODULARIZACAO\intellicare-comunicacao\src\comunicacao\api\main.py"
"intellicare-comunicacao","GET","/api/v1/health/channels","MODULARIZACAO\intellicare-comunicacao\comunicacao\api\health_routes.py"
"intellicare-comunicacao","GET","/api/v1/health/channels/{channel}","MODULARIZACAO\intellicare-comunicacao\comunicacao\api\health_routes.py"
"intellicare-comunicacao","GET","/api/v1/health/db","MODULARIZACAO\intellicare-comunicacao\comunicacao\api\health_routes.py"
"intellicare-comunicacao","GET","/api/v1/health/liveness","MODULARIZACAO\intellicare-comunicacao\comunicacao\api\health_routes.py"
"intellicare-comunicacao","GET","/api/v1/health/readiness","MODULARIZACAO\intellicare-comunicacao\comunicacao\api\health_routes.py"
"intellicare-comunicacao","GET","/api/v1/health/redis","MODULARIZACAO\intellicare-comunicacao\comunicacao\api\health_routes.py"
"intellicare-comunicacao","GET","/api/v1/info","MODULARIZACAO\intellicare-comunicacao\comunicacao\api\app.py"
"intellicare-comunicacao","GET","/api/v1/intents","MODULARIZACAO\intellicare-comunicacao\src\comunicacao\api\endpoints.py"
"intellicare-comunicacao","DELETE","/api/v1/jitsi/participants/{participant_id}","MODULARIZACAO\intellicare-comunicacao\comunicacao\api\jitsi_routes.py"
"intellicare-comunicacao","GET","/api/v1/jitsi/rooms","MODULARIZACAO\intellicare-comunicacao\comunicacao\api\jitsi_routes.py"
"intellicare-comunicacao","POST","/api/v1/jitsi/rooms","MODULARIZACAO\intellicare-comunicacao\comunicacao\api\jitsi_routes.py"
"intellicare-comunicacao","GET","/api/v1/jitsi/rooms/{room_id}","MODULARIZACAO\intellicare-comunicacao\comunicacao\api\jitsi_routes.py"
"intellicare-comunicacao","POST","/api/v1/jitsi/rooms/{room_id}/cancel","MODULARIZACAO\intellicare-comunicacao\comunicacao\api\jitsi_routes.py"
"intellicare-comunicacao","POST","/api/v1/jitsi/rooms/{room_id}/end","MODULARIZACAO\intellicare-comunicacao\comunicacao\api\jitsi_routes.py"
"intellicare-comunicacao","POST","/api/v1/jitsi/rooms/{room_id}/participants","MODULARIZACAO\intellicare-comunicacao\comunicacao\api\jitsi_routes.py"
"intellicare-comunicacao","POST","/api/v1/jitsi/rooms/{room_id}/start","MODULARIZACAO\intellicare-comunicacao\comunicacao\api\jitsi_routes.py"
"intellicare-comunicacao","POST","/api/v1/jitsi/webhook","MODULARIZACAO\intellicare-comunicacao\comunicacao\api\jitsi_routes.py"
"intellicare-comunicacao","POST","/api/v1/lgpd/anonymize/{patient_id}","MODULARIZACAO\intellicare-comunicacao\comunicacao\api\lgpd_routes.py"
"intellicare-comunicacao","GET","/api/v1/lgpd/audit","MODULARIZACAO\intellicare-comunicacao\comunicacao\api\lgpd_routes.py"
"intellicare-comunicacao","GET","/api/v1/lgpd/audit/{intent_id}","MODULARIZACAO\intellicare-comunicacao\comunicacao\api\lgpd_routes.py"
"intellicare-comunicacao","GET","/api/v1/lgpd/audit/patient/{patient_id}","MODULARIZACAO\intellicare-comunicacao\comunicacao\api\lgpd_routes.py"
"intellicare-comunicacao","GET","/api/v1/lgpd/compliance-report","MODULARIZACAO\intellicare-comunicacao\comunicacao\api\lgpd_routes.py"
"intellicare-comunicacao","DELETE","/api/v1/lgpd/consent/{patient_id}","MODULARIZACAO\intellicare-comunicacao\comunicacao\api\lgpd_routes.py"
"intellicare-comunicacao","POST","/api/v1/lgpd/consent/{patient_id}","MODULARIZACAO\intellicare-comunicacao\comunicacao\api\lgpd_routes.py"
"intellicare-comunicacao","GET","/api/v1/lgpd/consent/{patient_id}/history","MODULARIZACAO\intellicare-comunicacao\comunicacao\api\lgpd_routes.py"
"intellicare-comunicacao","GET","/api/v1/lgpd/export/{patient_id}","MODULARIZACAO\intellicare-comunicacao\comunicacao\api\lgpd_routes.py"
"intellicare-comunicacao","GET","/api/v1/lgpd/preferences/{patient_id}","MODULARIZACAO\intellicare-comunicacao\comunicacao\api\lgpd_routes.py"
